File Name,F-Score,Num Chunks,Compute Time,Real Time
RealDrum01_05#MIX.xml,0.942857142857143,1,8.266
RealDrum01_06#MIX.xml,0.9545454545454545,1,4.312
RealDrum01_07#MIX.xml,0.928,1,3.922
RealDrum01_08#MIX.xml,0.991869918699187,1,4.547
RealDrum01_09#MIX.xml,0.9203539823008848,1,4.234
RealDrum01_10#MIX.xml,0.7699530516431925,1,4.61
RealDrum01_11#MIX.xml,0.7387387387387387,1,4.015
RealDrum01_12#MIX.xml,0.8850574712643678,1,4.266
RealDrum01_13#MIX.xml,0,1,0.015
TechnoDrum01_00#MIX.xml,0.8723404255319149,1,5.141
RealDrum01_05#MIX.xml,0.9514563106796117,6,14.859
RealDrum01_06#MIX.xml,0.945945945945946,6,3.047
RealDrum01_07#MIX.xml,0.9027237354085603,6,3.015
RealDrum01_08#MIX.xml,0.9918032786885246,6,3.047
RealDrum01_09#MIX.xml,0.8956521739130435,6,2.75
RealDrum01_10#MIX.xml,0.7839195979899497,6,2.985
RealDrum01_11#MIX.xml,0.7488584474885845,6,2.89
RealDrum01_12#MIX.xml,0.89171974522293,6,2.969
RealDrum01_13#MIX.xml,0,6,0.016
TechnoDrum01_00#MIX.xml,0.8996539792387543,6,3.453
