F-Score,KL Divergence,Compute Time
0.8571428571428571,0.001,112.062
0.8603351955307262,0.002,26.985
0.8461538461538463,0.004,19.39
0.9936305732484078,0.008,6.344
0.9936305732484078,0.01,6.016
0.9936305732484078,0.02,5.531
0.9936305732484078,0.04,5.266
0.9746835443037976,0.08,4.984
0.9689440993788819,0.1,4.704
0.9625,0.2,4.734
0.9166666666666666,0.4,4.812
0.9333333333333333,0.5,4.61
