File Name,F-Score,Precision,Recall,Mix Length,Compute Time
RealDrum01_00#MIX.xml,0,0,0,0,0.0
RealDrum01_01#MIX.xml,0.8685714285714285,0.7835051546391752,0.9743589743589743,17.682403628117914,38.625
RealDrum01_02#MIX.xml,0.8275862068965517,0.7111111111111111,0.9896907216494846,17.554195011337868,37.141
RealDrum01_03#MIX.xml,0.9883720930232558,1.0,0.9770114942528736,17.554195011337868,54.812
RealDrum01_04#MIX.xml,0.9393939393939393,0.9489795918367347,0.93,16.305804988662132,48.907
RealDrum01_05#MIX.xml,0.918918918918919,0.864406779661017,0.9807692307692307,16.857142857142858,50.703
RealDrum01_06#MIX.xml,1.0,1.0,1.0,17.991065759637188,49.375
RealDrum01_07#MIX.xml,0.8957528957528956,0.8111888111888111,1.0,18.5,52.812
RealDrum01_08#MIX.xml,0.9669421487603305,0.9831932773109243,0.9512195121951219,18.74331065759637,48.719
RealDrum01_09#MIX.xml,0.8294930875576038,0.8181818181818182,0.8411214953271028,16.566961451247167,38.719
RealDrum01_10#MIX.xml,0.676056338028169,0.5669291338582677,0.8372093023255814,21.25,54.047
RealDrum01_11#MIX.xml,0.7562189054726368,0.6386554621848739,0.926829268292683,19.566938775510206,56.468
RealDrum01_12#MIX.xml,0.8662420382165604,0.9315068493150684,0.8095238095238095,20.96873015873016,59.375
RealDrum01_13#MIX.xml,0,0,0,0,0.0
TechnoDrum01_00#MIX.xml,0.4799999999999999,1.0,0.3157894736842105,19.125011337868482,126.719
TechnoDrum01_01#MIX.xml,0.652482269503546,0.7419354838709677,0.5822784810126582,16.941179138321996,91.172
TechnoDrum01_02#MIX.xml,0.6250000000000001,0.7142857142857143,0.5555555555555556,18.00002267573696,92.047
TechnoDrum01_03#MIX.xml,0.6548672566371682,0.6981132075471698,0.6166666666666667,18.00002267573696,126.344
TechnoDrum01_04#MIX.xml,0.7982832618025751,0.6739130434782609,0.9789473684210527,20.470566893424035,101.344
TechnoDrum01_05#MIX.xml,0.9855072463768115,0.9714285714285714,1.0,16.421065759637187,97.219
TechnoDrum01_06#MIX.xml,0.6827956989247312,0.5852534562211982,0.8193548387096774,17.42859410430839,139.156
TechnoDrum01_07#MIX.xml,0.5133689839572192,0.6233766233766234,0.43636363636363634,19.142879818594103,73.219
TechnoDrum01_08#MIX.xml,0.8955223880597015,0.8411214953271028,0.9574468085106383,16.571451247165534,123.609
TechnoDrum01_09#MIX.xml,0.3879310344827587,0.32608695652173914,0.4787234042553192,16.571451247165534,104.281
TechnoDrum02_00#MIX.xml,0.7169811320754716,0.5757575757575758,0.95,7.618662131519274,46.938
WaveDrum01_00#MIX.xml,0.888030888030888,0.8846153846153846,0.8914728682170543,21.375011337868482,76.531
WaveDrum01_01#MIX.xml,0.5269461077844312,0.9565217391304348,0.36363636363636365,16.941179138321996,54.25
WaveDrum01_02#MIX.xml,0.7037037037037038,0.9047619047619048,0.5757575757575758,18.352925170068026,50.828
WaveDrum01_03#MIX.xml,0.92018779342723,1.0,0.8521739130434782,17.294126984126983,61.469
WaveDrum01_04#MIX.xml,0.8571428571428571,0.9117647058823529,0.808695652173913,17.647074829931974,65.218
WaveDrum01_05#MIX.xml,0.8340080971659919,0.9035087719298246,0.7744360902255639,20.842108843537414,77.938
WaveDrum01_06#MIX.xml,0.7243243243243243,0.7444444444444445,0.7052631578947368,19.142879818594103,60.141
WaveDrum01_07#MIX.xml,0.8859060402684563,0.9166666666666666,0.8571428571428571,16.85716553287982,47.171
WaveDrum01_08#MIX.xml,0.6144578313253012,0.9444444444444444,0.45535714285714285,20.571451247165534,78.672
WaveDrum01_09#MIX.xml,0.8519855595667871,0.9833333333333333,0.7515923566878981,21.00002267573696,58.782
WaveDrum02_01#MIX.xml,0.9572649572649572,0.9333333333333333,0.9824561403508771,17.066666666666666,67.734
WaveDrum02_02#MIX.xml,0.8703703703703703,0.7833333333333333,0.9791666666666666,14.86077097505669,49.969
WaveDrum02_03#MIX.xml,0.945054945054945,1.0,0.8958333333333334,13.374693877551021,47.437
WaveDrum02_04#MIX.xml,0.6666666666666666,0.8909090909090909,0.532608695652174,15.018684807256236,44.672
WaveDrum02_05#MIX.xml,0.7225806451612904,0.8235294117647058,0.6436781609195402,16.34684807256236,50.109
WaveDrum02_06#MIX.xml,0.704225352112676,0.9090909090909091,0.5747126436781609,14.117732426303855,43.032
WaveDrum02_07#MIX.xml,0.9028571428571429,0.8586956521739131,0.9518072289156626,15.018684807256236,55.015
WaveDrum02_08#MIX.xml,0.906832298136646,0.8390804597701149,0.9864864864864865,14.571428571428571,54.969
WaveDrum02_09#MIX.xml,0.954248366013072,0.9240506329113924,0.9864864864864865,13.374693877551021,46.047
WaveDrum02_10#MIX.xml,0.8200000000000001,0.9534883720930233,0.7192982456140351,14.117732426303855,47.469
WaveDrum02_11#MIX.xml,0.86,0.9772727272727273,0.7678571428571429,14.117732426303855,38.297
WaveDrum02_12#MIX.xml,0.7961165048543688,0.8723404255319149,0.7321428571428571,14.117732426303855,46.5
WaveDrum02_13#MIX.xml,0.888888888888889,0.8067226890756303,0.9896907216494846,12.923083900226757,45.796
WaveDrum02_14#MIX.xml,0.9479166666666666,0.9578947368421052,0.9381443298969072,12.923083900226757,40.844
WaveDrum02_15#MIX.xml,0.8493150684931507,0.7622950819672131,0.9587628865979382,12.923083900226757,41.016
WaveDrum02_16#MIX.xml,0.8097560975609757,0.6859504132231405,0.9880952380952381,13.333333333333334,53.422
WaveDrum02_17#MIX.xml,0.9820359281437125,0.9879518072289156,0.9761904761904762,13.333333333333334,48.562
WaveDrum02_18#MIX.xml,0.8743169398907102,0.8080808080808081,0.9523809523809523,13.333333333333334,60.641
WaveDrum02_19#MIX.xml,0.9565217391304347,0.9777777777777777,0.9361702127659575,14.336009070294784,59.813
WaveDrum02_20#MIX.xml,0.9583333333333333,0.9387755102040817,0.9787234042553191,15.603809523809524,50.828
WaveDrum02_21#MIX.xml,0.9565217391304347,0.9777777777777777,0.9361702127659575,14.117732426303855,54.297
WaveDrum02_22#MIX.xml,0.711864406779661,1.0,0.5526315789473685,13.653333333333334,46.391
WaveDrum02_23#MIX.xml,0.7755102040816327,0.9344262295081968,0.6627906976744186,16.34684807256236,57.781
WaveDrum02_24#MIX.xml,0.7205882352941176,0.98,0.5697674418604651,14.86077097505669,66.031
WaveDrum02_25#MIX.xml,0.9818181818181818,0.9878048780487805,0.9759036144578314,15.018684807256236,53.328
WaveDrum02_26#MIX.xml,0.8242424242424243,0.7472527472527473,0.918918918918919,14.571428571428571,65.453
WaveDrum02_27#MIX.xml,0.9733333333333333,0.9605263157894737,0.9864864864864865,14.117732426303855,57.453
WaveDrum02_28#MIX.xml,0.7766990291262136,0.851063829787234,0.7142857142857143,13.374693877551021,44.954
WaveDrum02_29#MIX.xml,0.7787610619469025,0.7719298245614035,0.7857142857142857,14.86077097505669,37.343
WaveDrum02_30#MIX.xml,0.8039215686274508,0.8913043478260869,0.7321428571428571,14.117732426303855,86.453
WaveDrum02_31#MIX.xml,0.8926553672316384,0.9875,0.8144329896907216,12.923083900226757,76.657
WaveDrum02_32#MIX.xml,0.9795918367346939,0.9696969696969697,0.9896907216494846,12.923083900226757,59.406
WaveDrum02_33#MIX.xml,0.9896907216494846,0.9896907216494846,0.9896907216494846,12.923083900226757,84.359
WaveDrum02_34#MIX.xml,0.8677248677248677,0.780952380952381,0.9761904761904762,12.0,81.532
WaveDrum02_35#MIX.xml,0.8199999999999998,0.7068965517241379,0.9761904761904762,12.0,60.25
WaveDrum02_36#MIX.xml,0.845360824742268,0.7454545454545455,0.9761904761904762,12.0,73.281
WaveDrum02_37#MIX.xml,0.8380952380952381,0.7586206896551724,0.9361702127659575,15.018684807256236,80.485
WaveDrum02_38#MIX.xml,0.967741935483871,0.9782608695652174,0.9574468085106383,14.117732426303855,41.187
WaveDrum02_39#MIX.xml,0.9263157894736843,0.9166666666666666,0.9361702127659575,15.603809523809524,40.11
WaveDrum02_40#MIX.xml,0.7272727272727273,0.9454545454545454,0.5909090909090909,16.384013605442178,55.765
WaveDrum02_41#MIX.xml,0.7299270072992701,0.9803921568627451,0.5813953488372093,14.86077097505669,58.688
WaveDrum02_42#MIX.xml,0.7734806629834253,0.7368421052631579,0.813953488372093,17.08986394557823,76.562
WaveDrum02_43#MIX.xml,0.9454545454545454,0.9122807017543859,0.9811320754716981,14.117732426303855,77.594
WaveDrum02_44#MIX.xml,0.8520710059171599,0.7578947368421053,0.972972972972973,14.117732426303855,55.172
WaveDrum02_45#MIX.xml,0.948051948051948,0.9125,0.9864864864864865,14.571428571428571,60.797
WaveDrum02_46#MIX.xml,0.6964285714285714,0.6964285714285714,0.6964285714285714,15.603809523809524,81.531
WaveDrum02_47#MIX.xml,0.7478260869565219,0.7413793103448276,0.7543859649122807,13.374693877551021,30.969
WaveDrum02_48#MIX.xml,0.7608695652173912,0.9722222222222222,0.625,14.86077097505669,48.515
WaveDrum02_49#MIX.xml,0.8673469387755102,0.8585858585858586,0.8762886597938144,12.923083900226757,55.141
WaveDrum02_50#MIX.xml,0.8985507246376812,0.8532110091743119,0.9489795918367347,12.923083900226757,54.406
WaveDrum02_51#MIX.xml,0.787037037037037,0.7142857142857143,0.8762886597938144,12.923083900226757,47.563
WaveDrum02_52#MIX.xml,0.8972972972972973,0.8217821782178217,0.9880952380952381,13.333333333333334,59.453
WaveDrum02_53#MIX.xml,0.9540229885057472,0.9222222222222223,0.9880952380952381,13.333333333333334,49.781
WaveDrum02_54#MIX.xml,0.9162011173184357,0.8631578947368421,0.9761904761904762,13.333333333333334,48.75
WaveDrum02_55#MIX.xml,0.7222222222222222,0.7647058823529411,0.6842105263157895,8.0,22.219
WaveDrum02_56#MIX.xml,0.8118811881188118,0.7884615384615384,0.8367346938775511,8.0,16.406
WaveDrum02_57#MIX.xml,0.5599999999999999,0.5384615384615384,0.5833333333333334,9.6,27.078
WaveDrum02_58#MIX.xml,0.8256880733944955,0.9183673469387755,0.75,9.6,42.484
WaveDrum02_59#MIX.xml,0.763157894736842,0.8405797101449275,0.6987951807228916,9.6,25.453
WaveDrum02_60#MIX.xml,0.7534246575342466,0.9166666666666666,0.6395348837209303,9.6,24.938
